"Id","Type","Module","Text"
"MSG001","Error","Required field","Trường * không được để trống"
"MSG002","Error","Login","Email hoặc Password không chính xác"
"MSG003","Error","Email format","Email không đúng định dạng"
"MSG004","Error","Field length","Chỉ được nhập tối đa 50 ký tự"
"MSG005","Error","Phone format","Số điện thoại không đúng định dạng (10 số)"
"MSG006","Error","Date of birth","Ngày sinh phải trước ngày hiện tại"
"MSG007","Error","Password length","Mật khẩu tối thiểu 8 ký tự"
"MSG008","Error","Password match","Mật khẩu và xác nhận mật khẩu phải trùng khớp"
"MSG009","Error","Duplicate email","Email đã được sử dụng"
"MSG010","Error","OTP","Mã OTP không hợp lệ hoặc đã hết hạn"
"MSG011","Error","Image format","Ảnh phải có định dạng JPG, PNG hoặc WEBP"
"MSG012","Toast (Error)","Image size","Dung lượng ảnh không được vượt quá 5MB"
"MSG013","Toast (Error)","Password complexity","Mật khẩu phải chứa ít nhất 1 chữ hoa, 1 chữ thường, 1 số và 1 ký tự đặc biệt"
"MSG014","Toast (Error)","Duplicate phone","Số điện thoại đã được sử dụng"
"MSG015","Toast (Success)","Duplicate username","Tên đăng nhập đã tồn tại"
"MSG016","Toast (Success)","Create Center","Tên trung tâm đã tồn tại trong hệ thống"
"MSG017","Toast (Success)","Update Center","Không thể chuyển sang trạng thái không hoạt động khi còn subscription"
"MSG018","Toast (Success)","Create Plan","Tên gói dịch vụ đã tồn tại"
"MSG019","Toast (Error)","Create Plan","Giá phải lớn hơn hoặc bằng 0"
"MSG020","Toast (Success)","Create Plan","Thời hạn phải là 1, 3, 6 hoặc 12 tháng"
"MSG021","Toast (Success)","Delete Plan","Có trung tâm đang sử dụng gói này. Không thể xóa"
"MSG022","Toast (Success)","Subscription","Ngày bắt đầu phải là hôm nay hoặc ngày tương lai"
"MSG023","Toast (Error)","Payment","Thanh toán thất bại. Vui lòng thử lại"
"MSG024","Modal (Confirm)","Payment","Số tiền thanh toán không chính xác"
"MSG025","Toast (Error)","Payment","Bạn có chắc chắn muốn hủy thanh toán?"
"MSG026","Toast (Error)","Refund","Số tiền hoàn lại không được vượt quá số tiền đã thanh toán"
"MSG027","Toast (Success)","Refund","Chỉ có thể yêu cầu hoàn tiền trong vòng 30 ngày kể từ ngày thanh toán"
"MSG028","Toast (Success)","Create Student","Học sinh phải từ 5 tuổi trở lên"
"MSG029","Toast (Error)","Zalo OA Verify Fail","Kết nối thất bại. Kiểm tra lại OA ID và Secret Key."
"MSG030","Toast (Error)","Zalo OA Auth Val","Vui lòng thiết lập OA ID trước khi cấp quyền."
"MSG031","Toast (Success)","Zalo OA Auth Success","Cấp quyền Zalo OA thành công!"
"MSG032","Toast (Success)","Zalo OA Delete Success","Đã xóa cấu hình Zalo OA."
"MSG033","Toast (Success)","Class Delete Success","Đã xóa lớp ""{name}"" thành công!"
